Name,Team,G,PA,HR,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,playerid
Harold Ramirez,CLE,99,361,7,3,3.90%,15.50%,0.13,0.301,0.268,0.305,0.398,0.302,0.308,90,1.2,-3.1,-8.7,0,14387
Didi Gregorius,PHI,103,408,13,3,6.10%,16.40%,0.16,0.217,0.209,0.27,0.37,0.275,0.273,68,1.5,-14.8,1.8,0,6012
Jordy Mercer,WSN,46,127,2,0,7.10%,26.80%,0.11,0.341,0.254,0.307,0.364,0.294,0.285,81,-0.2,-3.3,-0.5,0,6547
Jason Martin,TEX,58,154,6,3,5.20%,26.60%,0.146,0.245,0.208,0.248,0.354,0.26,0.278,63,0.7,-6.3,1.3,0,16429
Nick Ahmed,ARI,129,473,5,7,7.20%,22.00%,0.118,0.279,0.221,0.28,0.339,0.269,0.25,64,0.6,-21.1,5.5,0,12147
Rob Refsnyder,MIN,51,157,2,1,10.80%,25.50%,0.094,0.327,0.245,0.325,0.338,0.296,0.34,86,-0.5,-3.2,-2.1,0,13770
Eric Hosmer,SDP,151,565,12,5,8.50%,17.50%,0.126,0.313,0.269,0.337,0.395,0.319,0.325,102,-5.5,-3.8,-14.9,0,3516
Kole Calhoun,ARI,51,182,5,1,8.20%,22.50%,0.139,0.281,0.235,0.297,0.373,0.292,0.292,79,0,-4.9,-1.2,0,11200
William Contreras,ATL,52,185,8,0,10.30%,29.20%,0.184,0.265,0.215,0.303,0.399,0.303,0.319,86,-0.8,-4.1,-2.3,0,20503
Lewin Diaz,MIA,40,128,8,0,4.70%,25.80%,0.246,0.21,0.205,0.242,0.451,0.288,0.294,82,-0.3,-3.1,-1.6,0,18365
Taylor Trammell,SEA,51,178,8,2,9.60%,42.10%,0.199,0.233,0.16,0.256,0.359,0.27,0.234,73,0,-5.8,-0.8,-0.1,19960
Taylor Jones,HOU,35,108,2,0,3.70%,26.90%,0.157,0.315,0.245,0.269,0.402,0.283,0.247,80,-1.8,-4.4,0,-0.1,19533
Michael Chavis,- - -,43,124,3,1,0.80%,33.90%,0.149,0.351,0.248,0.258,0.397,0.277,0.25,69,-1,-5.6,0.6,-0.1,17321
Andrew Stevenson,WSN,109,213,5,1,6.10%,28.60%,0.109,0.307,0.229,0.294,0.339,0.276,0.295,69,0.7,-7.7,-0.3,-0.1,17932
Daz Cameron,DET,35,115,4,6,8.70%,33.00%,0.165,0.262,0.194,0.278,0.359,0.281,0.284,76,2.3,-1.1,-3.8,-0.1,18353
Eli White,TEX,64,220,6,4,8.20%,30.00%,0.131,0.23,0.177,0.259,0.308,0.253,0.249,58,0.2,-11,2.5,-0.1,19346
Luke Williams,PHI,58,108,1,2,9.30%,21.30%,0.071,0.311,0.245,0.315,0.316,0.283,0.266,74,0.1,-3.5,-1.1,-0.1,19931
Abraham Almonte,ATL,64,175,5,1,14.90%,21.70%,0.182,0.255,0.216,0.331,0.399,0.321,0.317,97,-1.4,-2,-5,-0.1,5486
Pedro Severino,BAL,113,419,11,0,8.10%,26.00%,0.135,0.314,0.248,0.308,0.383,0.299,0.31,87,-3.9,-10.8,-4.6,-0.1,14523
Cavan Biggio,TOR,79,294,7,3,12.60%,26.50%,0.132,0.29,0.224,0.322,0.356,0.298,0.285,84,-1.3,-7.1,-4.2,-0.1,19252
Cole Tucker,PIT,43,131,2,2,9.90%,25.20%,0.12,0.289,0.222,0.298,0.342,0.282,0.28,75,-0.7,-4.9,-0.8,-0.1,17326
Nick Senzel,CIN,36,124,1,2,9.70%,12.90%,0.063,0.284,0.252,0.323,0.315,0.286,0.357,72,-0.2,-4.6,-0.8,-0.1,19293
Mauricio Dubon,SFG,74,187,5,2,4.80%,21.90%,0.137,0.282,0.24,0.278,0.377,0.278,0.273,75,-1.5,-7.6,0,-0.1,16530
Jose Rojas,LAA,61,184,6,2,8.20%,27.20%,0.19,0.259,0.208,0.277,0.399,0.292,0.293,83,-1,-4.9,-2.9,-0.1,19331
Hunter Dozier,KCR,144,543,16,5,7.90%,28.40%,0.179,0.276,0.216,0.285,0.394,0.293,0.299,82,-1.4,-13.3,-6.7,-0.2,15117
Josh Reddick,ARI,54,158,2,0,3.80%,19.60%,0.113,0.311,0.258,0.285,0.371,0.283,0.285,73,-0.6,-6.1,-0.7,-0.2,3892
Brent Rooker,MIN,58,213,9,0,7.00%,32.90%,0.196,0.264,0.201,0.291,0.397,0.301,0.34,89,1,-1.8,-7,-0.2,19627
Mike Brosseau,TBR,57,169,5,2,8.90%,31.40%,0.16,0.245,0.187,0.266,0.347,0.268,0.276,73,-0.9,-6.5,-0.8,-0.2,19683
Jorge Soler,- - -,149,602,27,0,11.10%,23.60%,0.209,0.25,0.223,0.316,0.432,0.323,0.354,101,-6.8,-6,-15.8,-0.2,14221
Lewis Brinson,MIA,89,290,9,1,4.50%,24.80%,0.15,0.273,0.226,0.263,0.376,0.275,0.286,74,-0.7,-10.4,-0.9,-0.2,14352
Magneuris Sierra,MIA,123,225,0,11,6.70%,22.20%,0.038,0.302,0.23,0.281,0.268,0.239,0.239,51,4,-10.1,0.9,-0.2,17023
Albert Pujols,- - -,109,296,17,2,4.70%,15.20%,0.196,0.223,0.236,0.284,0.433,0.302,0.322,90,-2.4,-6,-5.7,-0.2,1177
Mike Tauchman,- - -,75,191,4,3,12.00%,30.40%,0.102,0.25,0.181,0.284,0.283,0.26,0.275,63,-0.4,-9.4,1.1,-0.2,15274
Danny Santana,BOS,38,127,5,4,7.90%,23.60%,0.164,0.198,0.181,0.252,0.345,0.261,0.275,58,0.2,-6.3,0.1,-0.2,10322
Luis Garcia,WSN,70,247,6,0,4.50%,17.40%,0.169,0.273,0.242,0.275,0.411,0.291,0.278,79,-0.5,-7.1,-3,-0.2,20391
Jake Marisnick,- - -,99,198,5,4,5.60%,32.80%,0.159,0.306,0.216,0.286,0.375,0.287,0.258,78,0,-5.5,-3,-0.2,11339
Travis Shaw,- - -,84,250,9,0,9.60%,27.20%,0.173,0.243,0.2,0.286,0.373,0.289,0.302,78,-0.6,-7.7,-2.6,-0.2,11982
Jarrod Dyson,- - -,102,149,0,10,6.70%,22.10%,0.081,0.272,0.207,0.26,0.289,0.243,0.251,48,0.8,-8.6,1.5,-0.2,4866
Rowdy Tellez,- - -,106,325,11,0,7.10%,20.00%,0.172,0.275,0.242,0.305,0.414,0.306,0.338,89,-0.3,-4.8,-8.2,-0.2,15679
Alec Bohm,PHI,115,417,7,4,7.40%,26.60%,0.095,0.327,0.247,0.305,0.342,0.285,0.316,75,-2.5,-15.7,-0.2,-0.2,21618
Miguel Andujar,NYY,45,162,6,0,4.30%,17.30%,0.13,0.273,0.253,0.284,0.383,0.288,0.309,81,-1.6,-5.3,-2.4,-0.2,15878
Mitch Moreland,OAK,81,252,10,0,7.10%,23.00%,0.188,0.256,0.227,0.286,0.415,0.3,0.297,93,-1.9,-4.1,-6.6,-0.2,3086
Colin Moran,PIT,99,359,10,1,10.00%,24.20%,0.132,0.321,0.258,0.334,0.39,0.318,0.314,98,-5.3,-6.1,-8.3,-0.2,16909
Roberto Perez,CLE,44,161,7,1,10.60%,34.80%,0.17,0.179,0.149,0.245,0.319,0.251,0.3,56,0.2,-8.5,0.5,-0.3,2900
Marcell Ozuna,ATL,48,208,7,0,9.10%,22.10%,0.144,0.244,0.213,0.288,0.356,0.284,0.345,73,-1.3,-8.3,-1.3,-0.3,10324
Carlos Santana,KCR,158,659,19,2,13.10%,15.50%,0.127,0.227,0.214,0.319,0.342,0.294,0.334,83,-0.8,-14.6,-10.5,-0.3,2396
Brock Holt,TEX,77,260,2,5,8.80%,18.80%,0.089,0.254,0.209,0.281,0.298,0.259,0.278,62,-1.6,-13.6,2,-0.3,9345
Juan Lagares,LAA,112,327,6,1,3.70%,23.20%,0.136,0.294,0.236,0.266,0.372,0.274,0.281,71,-0.9,-12.5,-1.4,-0.3,5384
Adam Eaton,- - -,84,288,6,3,7.60%,24.70%,0.126,0.253,0.201,0.282,0.327,0.271,0.275,70,1.2,-9.5,-3.4,-0.3,11205
Joshua Fuentes,COL,95,284,7,0,4.20%,22.90%,0.125,0.27,0.225,0.257,0.351,0.261,0.23,48,2.2,-16.7,4.2,-0.3,16885
Jake Cave,MIN,76,178,3,1,5.60%,34.80%,0.104,0.283,0.189,0.249,0.293,0.241,0.273,49,1.3,-9.9,0.6,-0.3,14477
Ryan McKenna,BAL,90,197,2,1,12.20%,37.60%,0.083,0.312,0.183,0.292,0.266,0.259,0.281,59,1.6,-8.2,-1.7,-0.3,19928
Matt Carpenter,STL,130,249,3,2,14.10%,30.90%,0.106,0.25,0.169,0.305,0.275,0.269,0.342,70,0.4,-9.2,-2.3,-0.3,8090
Maikel Franco,BAL,104,403,11,0,5.00%,16.60%,0.146,0.225,0.21,0.253,0.355,0.263,0.269,62,-1.2,-20,3,-0.3,12179
Jose Marmolejos,SEA,41,122,4,0,12.30%,32.00%,0.151,0.203,0.16,0.262,0.311,0.256,0.28,64,0.5,-4.8,-2.7,-0.3,15767
Khris Davis,- - -,42,114,3,0,8.80%,27.20%,0.157,0.257,0.206,0.272,0.363,0.274,0.311,74,-0.5,-4.1,-3.3,-0.4,9112
Eric Sogard,CHC,78,180,1,3,5.00%,16.70%,0.065,0.293,0.249,0.283,0.314,0.259,0.227,59,-1.9,-11.4,1.8,-0.4,7927
Willi Castro,DET,125,450,9,9,5.10%,24.20%,0.131,0.275,0.22,0.273,0.351,0.271,0.29,69,2,-15.1,-3.8,-0.4,17338
Wilson Ramos,- - -,44,163,8,0,5.50%,22.10%,0.192,0.213,0.205,0.248,0.397,0.275,0.304,72,-1.3,-6.9,-2.5,-0.4,1433
Kurt Suzuki,LAA,72,247,6,0,4.90%,17.80%,0.119,0.25,0.224,0.294,0.342,0.282,0.263,76,-1.9,-9.1,-3.1,-0.4,8259
Jonathan Davis,- - -,64,103,1,4,11.70%,25.20%,0.046,0.164,0.126,0.252,0.172,0.21,0.284,25,0.3,-9.1,1.8,-0.4,15104
Gerardo Parra,WSN,53,107,2,1,5.60%,28.00%,0.113,0.318,0.237,0.292,0.351,0.282,0.253,73,-1.4,-5.1,-2.4,-0.4,8553
Rio Ruiz,- - -,62,141,3,2,8.50%,27.00%,0.104,0.209,0.168,0.243,0.272,0.231,0.25,37,0,-11,2.2,-0.4,14103
Mike Moustakas,CIN,62,206,6,0,8.70%,22.30%,0.164,0.239,0.208,0.282,0.372,0.284,0.276,70,-0.4,-8.2,-2.9,-0.4,4892
John Nogowski,- - -,52,143,1,0,8.40%,15.40%,0.078,0.271,0.233,0.301,0.31,0.273,0.279,70,-1.8,-7.3,-1.8,-0.4,16852
Luis Rengifo,LAA,54,190,6,1,4.70%,20.00%,0.109,0.22,0.201,0.246,0.31,0.244,0.293,50,1.1,-10.5,-0.4,-0.4,19858
Alex Jackson,- - -,52,151,3,0,8.60%,48.30%,0.099,0.273,0.137,0.252,0.237,0.227,0.222,41,-0.2,-11.5,2,-0.5,17276
Richie Martin,BAL,37,105,1,0,3.80%,26.70%,0.051,0.314,0.235,0.269,0.286,0.246,0.238,51,-1.7,-8.1,-0.1,-0.5,17736
Andrelton Simmons,MIN,131,451,3,1,7.10%,13.70%,0.051,0.256,0.223,0.283,0.274,0.252,0.261,56,-1.5,-25.5,5.5,-0.5,10847
Zach McKinstry,LAD,60,172,7,1,5.80%,29.10%,0.19,0.262,0.215,0.263,0.405,0.282,0.273,77,-0.5,-5.5,-5,-0.5,19392
Kevan Smith,- - -,33,106,0,0,9.40%,29.20%,0.032,0.25,0.168,0.248,0.2,0.196,0.217,17,-0.1,-11.3,2.9,-0.5,12284
Dominic Smith,NYM,145,493,11,2,6.50%,22.70%,0.119,0.298,0.244,0.304,0.363,0.291,0.324,86,-4,-12.7,-8.6,-0.5,15653
Shogo Akiyama,CIN,88,183,0,2,7.70%,21.90%,0.049,0.268,0.204,0.282,0.253,0.243,0.277,44,1,-12,0.8,-0.5,27461
Phillip Evans,PIT,76,247,5,1,11.30%,21.50%,0.093,0.25,0.206,0.312,0.299,0.278,0.312,73,0,-8.6,-4.7,-0.5,12950
Shed Long Jr.,SEA,34,121,4,1,7.40%,32.20%,0.162,0.265,0.198,0.258,0.36,0.268,0.261,72,-1.1,-5.2,-4.1,-0.5,16542
Victor Robles,WSN,107,369,2,8,8.90%,23.00%,0.092,0.271,0.203,0.31,0.295,0.274,0.288,67,-3.4,-18.7,1.2,-0.5,18363
Josh VanMeter,ARI,112,310,6,3,10.60%,26.80%,0.142,0.278,0.212,0.297,0.354,0.287,0.275,75,-1.5,-11.2,-4.4,-0.5,15170
Nomar Mazara,DET,50,181,3,0,8.30%,24.90%,0.109,0.271,0.212,0.276,0.321,0.264,0.272,64,0.1,-7.9,-3.7,-0.5,14553
Jarren Duran,BOS,33,112,2,2,3.60%,35.70%,0.121,0.318,0.215,0.241,0.336,0.247,0.246,49,0.6,-6.4,-2.8,-0.5,24617
Josh Naylor,CLE,69,250,7,1,5.60%,18.00%,0.146,0.287,0.253,0.301,0.399,0.302,0.308,90,-1.4,-4.4,-9.6,-0.6,18839
Willie Calhoun,TEX,75,284,6,0,7.40%,12.00%,0.131,0.267,0.25,0.31,0.381,0.301,0.323,91,-4,-7.2,-8,-0.6,17838
Robel Garcia,HOU,47,117,1,0,6.80%,35.90%,0.057,0.234,0.151,0.216,0.208,0.194,0.224,20,-0.4,-11.8,2.2,-0.6,13167
Kelvin Gutierrez,- - -,85,295,3,0,6.40%,25.80%,0.085,0.311,0.232,0.292,0.316,0.27,0.263,67,-2.2,-14.1,-1.7,-0.6,17468
Stephen Piscotty,OAK,72,188,5,1,6.90%,25.50%,0.133,0.275,0.22,0.282,0.353,0.279,0.289,78,-1,-6,-6.3,-0.6,13367
Ka'ai Tom,- - -,48,133,2,1,12.80%,27.10%,0.093,0.178,0.139,0.278,0.231,0.239,0.287,47,-0.5,-9.3,-1.1,-0.6,18136
David Bote,CHC,97,327,8,0,8.30%,22.30%,0.131,0.235,0.199,0.276,0.33,0.268,0.312,64,-3.1,-18.1,1.2,-0.6,14593
Sandy Leon,MIA,84,220,4,0,5.50%,29.50%,0.084,0.244,0.183,0.237,0.267,0.225,0.216,42,-1.6,-18,4.4,-0.6,5273
Zack Short,DET,61,184,6,2,12.00%,32.10%,0.141,0.165,0.141,0.239,0.282,0.23,0.243,41,0.1,-13.1,0.3,-0.7,19562
Victor Caratini,SDP,116,356,7,2,9.80%,23.00%,0.096,0.281,0.227,0.309,0.323,0.273,0.29,72,-4.9,-17.4,-0.9,-0.7,14968
Miguel Cabrera,DET,130,526,15,0,7.60%,22.40%,0.129,0.305,0.256,0.316,0.386,0.305,0.313,92,-6.3,-11.4,-13,-0.7,1744
Jake Bauers,- - -,115,315,4,6,9.50%,24.80%,0.067,0.275,0.209,0.29,0.277,0.257,0.296,63,0.4,-14,-3.4,-0.7,15194
Marwin Gonzalez,- - -,91,307,5,3,6.50%,25.40%,0.105,0.258,0.199,0.275,0.304,0.259,0.28,58,-2,-17.8,0.7,-0.7,5497
Tim Locastro,- - -,64,156,2,5,4.50%,21.20%,0.072,0.219,0.18,0.263,0.252,0.237,0.257,44,0.3,-10.7,-1.1,-0.7,15124
Isan Diaz,MIA,89,277,4,1,12.30%,26.40%,0.088,0.256,0.193,0.293,0.282,0.253,0.273,60,0.3,-14,-2,-0.7,17922
Evan White,SEA,30,104,2,0,5.80%,29.80%,0.093,0.188,0.144,0.202,0.237,0.197,0.24,24,0.5,-9.1,-1.3,-0.7,20078
Jarred Kelenic,SEA,93,377,14,6,9.50%,28.10%,0.169,0.216,0.181,0.265,0.35,0.27,0.31,73,1.3,-11,-8.7,-0.7,22558
Carter Kieboom,WSN,62,249,6,0,10.00%,24.90%,0.111,0.258,0.207,0.301,0.318,0.275,0.299,68,-1.9,-11.9,-3.2,-0.7,19958
Zack Collins,CHW,78,231,4,1,14.70%,29.90%,0.128,0.303,0.21,0.33,0.338,0.3,0.322,90,-1.1,-3.9,-10.8,-0.7,19181
Erik Gonzalez,PIT,71,229,2,2,3.50%,17.50%,0.068,0.274,0.232,0.258,0.3,0.244,0.274,50,-1.9,-16.4,1.6,-0.7,13369
Keston Hiura,MIL,61,197,4,3,7.10%,39.10%,0.133,0.269,0.168,0.256,0.301,0.25,0.281,52,1.3,-10.7,-3.1,-0.7,20003
Jurickson Profar,SDP,137,412,4,10,11.90%,15.80%,0.093,0.266,0.227,0.329,0.32,0.293,0.302,85,-1.9,-9.6,-11.3,-0.7,10815
Ryan O'Hearn,KCR,84,254,9,0,5.10%,28.00%,0.144,0.277,0.225,0.268,0.369,0.274,0.293,70,-2.1,-11.5,-4.4,-0.7,16442
Franchy Cordero,BOS,48,136,1,1,5.90%,37.50%,0.071,0.307,0.189,0.237,0.26,0.222,0.239,32,0.6,-10.8,-1.4,-0.8,14567
David Dahl,TEX,63,220,4,2,4.50%,26.80%,0.112,0.269,0.21,0.247,0.322,0.246,0.296,54,-0.7,-13.1,-2,-0.8,13744
Justin Williams,STL,51,137,4,0,12.40%,33.60%,0.101,0.217,0.16,0.27,0.261,0.229,0.316,44,-0.6,-10.4,-2,-0.8,15490
Cody Bellinger,LAD,95,350,10,3,8.90%,26.90%,0.137,0.196,0.165,0.24,0.302,0.237,0.281,48,2.1,-21.2,1.8,-0.8,15998
Jackie Bradley Jr.,MIL,134,428,6,7,6.50%,30.80%,0.098,0.226,0.163,0.236,0.261,0.224,0.257,35,2.1,-33.1,10.9,-0.8,12984
Willians Astudillo,MIN,73,216,7,0,1.40%,5.60%,0.139,0.221,0.236,0.259,0.375,0.272,0.279,70,-3.5,-11.4,-4.4,-0.8,15608
Michael Perez,PIT,70,231,7,0,8.20%,29.40%,0.148,0.17,0.143,0.221,0.29,0.225,0.244,38,-0.5,-18.7,2.5,-0.9,12977
Clint Frazier,NYY,66,218,5,2,14.70%,29.80%,0.131,0.257,0.186,0.317,0.317,0.289,0.313,83,-2.4,-7.1,-9.3,-0.9,15983
Austin Wynns,BAL,45,139,4,1,5.80%,22.30%,0.123,0.211,0.185,0.232,0.308,0.236,0.243,44,-1.3,-10.8,-3.3,-0.9,15271
Pat Valaika,BAL,91,281,5,1,5.70%,27.00%,0.089,0.26,0.201,0.25,0.29,0.238,0.266,46,-1.2,-19.9,0.8,-1,14885
Andrew Knizner,STL,63,185,1,0,10.80%,21.10%,0.062,0.223,0.174,0.281,0.236,0.238,0.275,50,-1.5,-13.3,-2.5,-1,19514
JaCoby Jones,DET,36,105,2,2,4.80%,40.00%,0.08,0.268,0.17,0.21,0.25,0.204,0.248,24,-0.8,-10.6,-2.7,-1,14818
Andrew Knapp,PHI,62,159,2,0,6.30%,38.40%,0.062,0.241,0.152,0.215,0.214,0.196,0.231,18,1.5,-15.2,-0.8,-1.1,14942
Owen Miller,CLE,60,202,4,2,4.50%,26.70%,0.105,0.261,0.204,0.243,0.309,0.241,0.264,49,-2.3,-15,-2.8,-1.1,24655
Gregory Polanco,PIT,107,382,11,14,9.40%,27.20%,0.146,0.258,0.208,0.283,0.354,0.275,0.315,71,1.9,-12.3,-11.9,-1.2,12907
Joe Panik,- - -,95,257,3,2,6.60%,13.20%,0.076,0.23,0.208,0.266,0.284,0.244,0.274,51,-2,-17.8,-2.4,-1.2,11936
